product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.amazon.in/HTC-Desire-516c-Dual-CDMA/dp/B00QAJF9J2," 13,900.00, 13,900.00",,,,,HTC Desire 516c Dual SIM (CDMA + GSM)
http://www.amazon.in/Reliance-C380-Haier-Black/dp/B00HSD35MM," 1,179.00, 1,179.00",,,,,Reliance Haier C380 (Black)
http://www.amazon.in/BQ-Touch-Phone-4-4-2-KitKat/dp/B00LSCARBG,,,,,,"BQ S37 IPS"" Touch Phone with 4.4.2 KitKat OS"
http://www.amazon.in/Micromax-A67-Bolt-A067-Blue/dp/B00QIZWRFC," 5,400.00, 5,400.00",,,,,Micromax Bolt A067 (Blue)
http://www.amazon.in/Lenovo-A680-Black/dp/B00IXCYWJW," 6,300.00",,,,,Lenovo A680 (Black)
http://www.amazon.in/XOLO-Q1200-Xolo-White/dp/B00KS5STHI," 7,189.00",,,,,Xolo Q1200 (White)
http://www.amazon.in/Micromax-X258-Black/dp/B00I9YPF8G," 1,454.00",,,,,Micromax X258 (Black)
http://www.amazon.in/Karbonn-Cheapest-A104-Android-Phone/dp/B00TV4W5UE," 2,199.00",,,,,Karbonn Cheapest alfa A104 Android Phone (Black)
http://www.amazon.in/XOLO-Q1000s-Plus-Q1000S-Black/dp/B00N3S0ZBU," 9,530.00",,,,,Xolo Q1000S Plus (Black)
http://www.amazon.in/Sony-Xperia-Single-SIM-Black/dp/B00EJBA7HC," 10,150.00",,,,,"Sony Xperia M (Single SIM, Black)"
http://www.amazon.in/Micromax-X084-Black-Red/dp/B00EUTL7IG," 1,005.00",,,,,Micromax X084 (Black-Red)
http://www.amazon.in/Samsung-Metro-Duos-GT-C3322-White/dp/B00P2FNB36," 3,150.00",,,,,Samsung Metro Duos GT-C3322 (White)
http://www.amazon.in/Samsung-SM-Z130H-Z1-White/dp/B00TOFCONI," 5,600.00",,,,,Samsung Z1 SM-Z130H (White)
http://www.amazon.in/KARBONN-TITANIUM-512MB-4GB-Black/dp/B00PAQ9GMM," 5,450.00",,,,,KARBONN TITANIUM S3 512MB / 4GB (Black)
http://www.amazon.in/Micromax-Canvas-Elanza-A93-Silver/dp/B00J60DPKC," 5,590.00",,,,,Micromax Canvas Elanza A93 (Black Silver)
http://www.amazon.in/Samsung-Galaxy-Grand-Neo-GT-I9060/dp/B00IKC6FZY," 11,400.00",,,,,Samsung Galaxy Grand Neo GT-I9060 (White)
http://www.amazon.in/Micromax-Canvas-Knight-A350-White-Gold/dp/B00IXCZ688," 23,800.00",,,,,Micromax Canvas Knight A350 (White-Gold)
http://www.amazon.in/Lava-Iris-Fuel-50-White/dp/B00S16LLYE,"
    
        
        
            ,
                  
        
      
",,,,,Lava Iris Fuel 50 (White)
http://www.amazon.in/Intex-Aqua-Eco-Smart-Mobile/dp/B00T05CIYC," 3,148.00",,,,,Intex Aqua Eco Smart Mobile Phone - (Black-Blue)
http://www.amazon.in/iBall-IBALL-SLIDE-BRACE-X1/dp/B00U2GBOR0," 17,559.00",,,,,IBALL SLIDE BRACE -X1
http://www.amazon.in/Sony-Xperia-Z3-Copper/dp/B00NPTMDI0," 38,689.00",,,,,Sony Xperia Z3 (Copper)
http://www.amazon.in/Karbonn-Titanium-S10-Black/dp/B00PZY0LWI,,,,,,Karbonn Titanium S10 (Black)
http://www.amazon.in/Sansui-R14-Large-Screen-Mobile/dp/B00U7V3P3G," 1,090.00, 1,090.00",,,,,"Sansui R14 Sky with 2.4"" Large Screen Dual Sim Mobile Phone"
http://www.amazon.in/XOLO-Q1010i-Xolo-Coffee-Brown/dp/B00LOBLJY0," 7,199.00",,,,,Xolo Q1010i (Coffee Brown)
http://www.amazon.in/XOLO-Play-8X-1200-Xolo-Black/dp/B00MHI6GO2," 16,500.00, 16,500.00",,,,,Xolo Play 8X-1200 (Black)
http://www.amazon.in/Micromax-A093-Fire-Black-Gold/dp/B00LUQXRJE," 5,550.00",,,,,Micromax Fire A093 (Black-Gold)
http://www.amazon.in/Karbonn-Titanium-Octane-White/dp/B00L7QZZ56," 8,119.00",,,,,Karbonn Titanium Octane (White)
http://www.amazon.in/Micromax-X2814-Blue/dp/B00PLVZ8QY," 1,730.00, 1,730.00",,,,,Micromax X2814 (Blue)
http://www.amazon.in/Gionee-S5-5-Elife-White/dp/B00K6BP8FU," 21,709.00",,,,,Gionee Elife S5.5 (White)
http://www.amazon.in/Nokia-NOKIA-105-RED/dp/B00P2G6AD8," 1,199.00",,,,,NOKIA 105 (RED)
http://www.amazon.in/Intex-Aqua-Smart-Mobile-Phone/dp/B00T9JDWSU," 2,489.00",,,,,Intex Aqua R3 Smart Mobile Phone - (Blue)
http://www.amazon.in/Lava-Iris-Alfa-Black/dp/B00TPM4NP2," 6,349.00",,,,,Lava Iris Alfa (Black)
http://www.amazon.in/Samsung-Galaxy-Quattro-GT-I8552-Ceramic/dp/B00CTKUV4Y," 12,000.00,
    
        
        
            ,
                  
        
      
",,,,,Samsung Galaxy Grand Quattro GT-I8552 (Ceramic White)
http://www.amazon.in/Sony-Xperia-SP-C5302-Black/dp/B00D2KRS4Q," 14,300.00, 14,300.00",,,,,Sony Xperia SP C5302 (Black)
http://www.amazon.in/Samsung-Galaxy-GT-S5282-Noble-Black/dp/B00D2S3WEI," 3,800.00",,,,,Samsung Galaxy Star GT-S5282 (Noble Black)
http://www.amazon.in/Lenovo-S650-Silver/dp/B00JGMRDOE," 7,599.00",,,,,Lenovo S650 (Silver)
http://www.amazon.in/Gionee-S96-white/dp/B00I7LL3T6," 2,887.00",,,,,Gionee S96 (white)
http://www.amazon.in/Cheers-C1-3-5-Inches-Smartphone/dp/B00OBDVWPE,,,,,,Cheers C1 3.5 Inches Smartphone
