product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.flipkart.com/micromax-canvas-fire-2-a104/p/itme5mwj5bhphzyf?pid=MOBEFPACY8NR57ER&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_256,"Rs. 6,666",,,(Black & Silver),,Micromax Canvas Fire 2 A104
http://www.flipkart.com/micromax-unite-a092/p/itme5mwhzy9zweh7?pid=MOBDX8MFZGTFN2YH&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_258,"Rs. 4,839",,,(Red),,Micromax Unite A092
http://www.flipkart.com/karbonn-titanium-s2-plus/p/itme5hwrzdna7dvb?pid=MOBDXZ9WHJP4M6HW&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_255,"Rs. 5,777",,,(Black),,Karbonn Titanium S2 Plus
http://www.flipkart.com/karbonn-titanium-s8/p/itme5hwbbhkje5dz?pid=MOBE26JU2RRW4CBT&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_254,"Rs. 5,699",,,(Black & Red),,Karbonn Titanium S8
http://www.flipkart.com/nokia-asha-501/p/itme5hx9wxadcydu?pid=MOBDHX4W57DEMADE&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_228,"Rs. 4,749",,,(Black),,Nokia Asha 501
http://www.flipkart.com/micromax-mad-a94/p/itmeyfrhb82gsb4s?pid=MOBDSN7H75FANFUA&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_226,"Rs. 5,596",,,(Grey),,Micromax MAd A94
http://www.flipkart.com/lava-x5/p/itme55j9fgrvaehf?pid=MOBEYTR3HEVYHBZD&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_229,"Rs. 8,499",,,(White),,Lava X5
http://www.flipkart.com/nokia-asha-501/p/itme5hx9wxadcydu?pid=MOBDHX4W57DEMADE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_228,"Rs. 4,749",,,(Black),,Nokia Asha 501
http://www.flipkart.com/samsung-galaxy-ace-nxt/p/itmdygdvynfzdshy?pid=MOBDYGDVNG45AEFG&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_225,"Rs. 6,291",,,"(Ceramic, White)",,Samsung Galaxy Ace NXT
http://www.flipkart.com/lava-kkt-uno/p/itme3m7xazdzvxsc?pid=MOBDV35MF6MGMMWZ&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_227,"Rs. 2,499",,,(Grey),,Lava KKT Uno
http://www.flipkart.com/samsung-galaxy-ace-nxt/p/itmdygdvynfzdshy?pid=MOBDYGDVNG45AEFG&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_225,"Rs. 6,291",,,"(Ceramic, White)",,Samsung Galaxy Ace NXT
http://www.flipkart.com/karbonn-a100/p/itmdyygypfjjs34x?pid=MOBDYYFYY5YGF7GZ&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_224,"Rs. 2,479",,,(Grey and Black),,Karbonn A100
http://www.flipkart.com/karbonn-a100/p/itmdyygypfjjs34x?pid=MOBDYYFYY5YGF7GZ&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_224,"Rs. 2,479",,,(Grey and Black),,Karbonn A100
http://www.flipkart.com/micromax-x249/p/itme45x8cqdgz6gw?pid=MOBEF2SZUGEYQ7CU&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_223,"Rs. 1,281",,,(White),,Micromax X249
http://www.flipkart.com/nokia-lumia-830/p/itme5hwkk2zmbgwe?pid=MOBEYZ8FG7XKG4US&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_221,"Rs. 20,190",,,(Black),,Nokia Lumia 830
http://www.flipkart.com/forme-summer-s700/p/itme45wdhzjhdujs?pid=MOBDTZ5NTVPSHSXQ&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_222,"Rs. 1,395",,,"(Red, White)",,Forme Summer S700
http://www.flipkart.com/micromax-rockstar-c192/p/itmdxcyp2r4xgsaw?pid=MOBDXCYNAGBSZXJD&primarySection=SELLER_TABLE&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&sellersSortedBy=PRICE&srno=b_219,"Rs. 1,212",,,(Black),,Micromax Rockstar C192
http://www.flipkart.com/nokia-lumia-830/p/itme5hwkk2zmbgwe?pid=MOBEYZ8FG7XKG4US&ref=96cf0fb6-610b-4d07-a0c0-602a85dafe49&srno=b_221,"Rs. 20,190",,,(Black),,Nokia Lumia 830
